207,1055
259,1315
327,1655
526,2650
684,3440
861,4325
910,4570
1027,5155
1159,5815
1346,6750
1421,7125
1519,7615
1640,8220
1781,8925
1924,9640
1947,9755
2112,10580
2221,11125
2320,11620
2351,11775
2537,12705
2646,13250
2660,13320
2726,13650
2792,13980
2933,14685
2958,14810
3041,15225
3222,16130
3347,16755
3537,17705
3704,18540
3898,19510
4002,20030
4181,20925
4202,21030
4379,21915
4440,22220
4539,22715
4704,23540
4739,23715
4890,24470
5036,25200
5229,26165
5332,26680
5416,27100
5570,27870
5658,28310
5853,29285
5944,29740
6119,30615
6216,31100
6234,31190
6248,31260
6339,31715
6480,32420
6495,32495
6646,33250
6668,33360
6809,34065
6920,34620
7103,35535
7285,36445
7359,36815
7443,37235
7469,37365
7524,37640
7640,38220
7724,38640
7834,39190
7946,39750
8140,40720
8304,41540
8489,42465
8659,43315
8699,43515
8781,43925
8911,44575
9052,45280
9123,45635
9193,45985
9377,46905
9505,47545
9687,48455
9875,49395
9987,49955
10088,50460
10286,51450
10342,51730
10392,51980
10535,52695
10578,52910
10608,53060
10610,53070
10707,53555
10785,53945
10911,54575
11067,55355
11223,56135
11230,56170
11239,56215
11247,56255
11355,56795
11459,57315
11469,57365
11539,57715
11626,58150
11767,58855
11858,59310
12013,60085
12097,60505
12257,61305
12308,61560
12421,62125
12513,62585
12594,62990
12691,63475
12791,63975
12958,64810
13056,65300
13240,66220
13337,66705
13456,67300
13640,68220
13823,69135
13848,69260
14009,70065
14118,70610
14194,70990
14365,71845
14418,72110
14509,72565
14649,73265
14793,73985
14819,74115
14934,74690
14999,75015
15071,75375
15269,76365
15280,76420
15425,77145
15571,77875
15733,78685
15795,78995
15986,79950
16154,80790
16249,81265
16367,81855
16471,82375
16536,82700
16575,82895
16659,83315
16791,83975
16887,84455
16913,84585
17009,85065
17151,85775
17208,86060
17371,86875
17495,87495
17673,88385
17781,88925
17971,89875
18149,90765
18336,91700
18530,92670
18618,93110
18705,93545
18735,93695
18755,93795
18758,93810
18869,94365
18875,94395
18927,94655
19116,95600
19139,95715
19183,95935
19218,96110
19342,96730
19463,97335
19474,97390
19523,97635
19691,98475
19845,99245
19883,99435
19893,99485
19969,99865
20113,100585
20296,101500
20454,102290
20625,103145
20712,103580
20852,104280
20973,104885
20992,104980
21002,105030
21042,105230
21067,105355
21236,106200
21299,106515
